,Babysitterid,Babysitter_Skills_Totalnum,Child_Needs_Totalnum,Babysitter_Relevant_Skills_num,Favorites_totalnum,Babysitter_Total_Reviews_got
0,e9835a9a-7850-4393-b643-25f1bc70e1c6,2,5,1,3,3
1,2559e54b-a120-4534-a98b-07fac936d3ff,1,5,2,3,3
2,d7ea9b13-7eed-4f83-9872-a4ac808a969c,2,5,4,2,2
3,f96c7f9d-aa21-4523-bf3c-568ea130a8f2,2,5,4,2,2
4,b2fc8031-c571-4889-bcc2-645aa14e7cf5,5,5,2,2,2
5,bc87d40a-90cd-4094-a8cc-7ef9515f9e6f,4,5,4,1,1
6,1145a3f5-0782-4bac-a762-65959ba5d0bf,2,5,2,1,1
7,ae3c29d4-9e66-426f-9865-ebae4c1d1118,3,5,1,1,1
8,8b55d07a-f6e2-40cd-9c3d-dffdcbda76ab,5,5,0,2,3
9,0ad83e87-cfbc-42eb-b31f-d8f6508c9c63,4,5,0,1,1
10,4e7d05be-87bd-4f9e-8fa8-5e13a0d8876e,5,5,0,0,0
11,5ab68abe-f3af-4395-ab23-672d78ed8038,3,5,0,0,0
